Appliance,Timestamp,EventType,Program,Notes
Dishwasher,2025-04-17 11:27:00, Program finished,Auto Wash,
Dishwasher,2025-04-18 09:31:00, Program finished,Auto Wash,
Dishwasher,2025-04-18 20:49:00, Program finished,Auto Wash,
Dishwasher,2025-04-19 18:46:00, Program finished,Auto Wash,
Dishwasher,2025-04-20 12:37:00, Program finished,Auto Wash,
Dishwasher,2025-04-20 17:47:00, Program finished,Auto Wash,
Dishwasher,2025-04-20 20:21:00, Program finished,Auto Wash,
Dishwasher,2025-04-21 17:05:00, Program finished,Auto Wash,
Dishwasher,2025-04-21 23:08:00, Program finished,Auto Wash,
Dishwasher,2025-04-22 22:25:00, Program finished,Auto Wash,
Dishwasher,2025-04-23 17:47:00, Program finished,Auto Wash,
Dishwasher,2025-04-23 21:47:00, Program finished,Auto Wash,
Dishwasher,2025-04-24 17:28:00, Program finished,Auto Wash,
Dishwasher,2025-04-25 07:33:00, Program finished,Auto Wash,
Dishwasher,2025-04-25 09:39:00, Program finished,Auto Wash,
Dishwasher,2025-04-25 22:03:00, Program finished,Auto Wash,
Dishwasher,2025-04-26 21:55:00, Program finished,Auto Wash,
Dishwasher,2025-04-27 19:07:00, Program finished,Auto Wash,
Dishwasher,2025-04-28 16:21:00, Program finished,Auto Wash,
Dishwasher,2025-04-29 11:14:00, Program finished,Auto Wash,
Dishwasher,2025-04-29 21:11:00, Program finished,Auto Wash,
Dishwasher,2025-04-30 16:07:00, Program finished,Auto Wash,
Dishwasher,2025-05-01 13:41:00, Program finished,Auto Wash,
Dishwasher,2025-05-01 22:39:00, Program finished,Auto Wash,
Dishwasher,2025-05-02 18:30:00, Program finished,Auto Wash,
Dishwasher,2025-05-03 09:55:00, Program finished,Auto Wash,
Dishwasher,2025-05-03 22:18:00, Program finished,Auto Wash,
Dishwasher,2025-05-04 18:52:00, Program finished,Auto Wash,
Dishwasher,2025-05-05 15:30:00, Program finished,Auto Wash,
Dishwasher,2025-05-05 22:52:00, Program finished,Auto Wash,
Dishwasher,2025-05-06 20:04:00, Program finished,Auto Wash,
Dishwasher,2025-05-07 19:25:00, Program finished,Auto Wash,
Dishwasher,2025-05-07 22:36:00, Program finished,Auto Wash,
Dishwasher,2025-05-08 15:49:00, Program finished,Auto Wash,
Dishwasher,2025-05-08 21:46:00, Program finished,Auto Wash,
Dishwasher,2025-05-09 17:27:00, Program finished,Auto Wash,
Dishwasher,2025-05-10 09:53:00, Program finished,Auto Wash,
Dishwasher,2025-05-10 20:50:00, Program finished,Auto Wash,
Dishwasher,2025-05-11 18:39:00, Program finished,Auto Wash,
Dishwasher,2025-05-12 14:05:00, Program finished,Auto Wash,
Dishwasher,2025-05-13 09:44:00, Program finished,Auto Wash,
Dishwasher,2025-05-14 10:40:00, Program finished,Auto Wash,
Dishwasher,2025-05-14 23:12:00, Program finished,Auto Wash,
Dishwasher,2025-05-15 23:03:00, Program finished,Auto Wash,
Dishwasher,2025-05-17 00:40:00, Program finished,Eco Wash,
Dishwasher,2025-05-17 22:37:00, Program finished,Eco Wash,
Dishwasher,2025-05-18 19:31:00, Program finished,Eco Wash,
Dishwasher,2025-05-19 16:00:00, Program finished,Eco Wash,
Dishwasher,2025-05-20 17:20:00, Program finished,Eco Wash,
Dishwasher,2025-05-20 23:21:00, Program finished,Eco Wash,
Dishwasher,2025-05-21 23:23:00, Program finished,Eco Wash,
Dishwasher,2025-05-22 23:20:00, Program finished,Eco Wash,
Dishwasher,2025-05-23 23:38:00, Program finished,Eco Wash,
Dishwasher,2025-05-24 20:03:00, Program finished,Eco Wash,
Dishwasher,2025-05-25 10:59:00, Program finished,Eco Wash,
Dishwasher,2025-05-25 23:20:00, Program finished,Eco Wash,
Dishwasher,2025-05-26 18:46:00, Program finished,Eco Wash,
Dishwasher,2025-05-27 11:22:00, Program finished,Eco Wash,
Dishwasher,2025-05-27 22:38:00, Program finished,Eco Wash,
Dishwasher,2025-05-28 23:49:00, Program finished,Eco Wash,
Dishwasher,2025-05-29 23:12:00, Program finished,Eco Wash,
Dishwasher,2025-05-30 20:13:00, Program finished,Eco Wash,
Dishwasher,2025-05-31 12:15:00, Program finished,Eco Wash,
Dishwasher,2025-06-02 21:22:00, Program finished,Eco Wash,
Dishwasher,2025-06-03 17:55:00, Program finished,Eco Wash,
Dishwasher,2025-06-03 23:16:00, Program finished,Eco Wash,
Dishwasher,2025-06-04 23:27:00, Program finished,Eco Wash,
Dishwasher,2025-06-05 13:03:00, Program finished,Eco Wash,
Dishwasher,2025-06-05 23:35:00, Program finished,Eco Wash,
Dishwasher,2025-06-06 21:57:00, Program finished,Eco Wash,
Dishwasher,2025-06-07 17:53:00, Program finished,Eco Wash,
Dishwasher,2025-06-08 00:06:00, Program finished,Eco Wash,
Dishwasher,2025-06-08 19:24:00, Program finished,Eco Wash,
Dishwasher,2025-06-09 18:45:00, Program finished,Eco Wash,
Dishwasher,2025-06-09 22:24:00, Program finished,Eco Wash,
Dishwasher,2025-06-10 17:45:00, Program finished,Eco Wash,
Dishwasher,2025-06-10 23:54:00, Program finished,Eco Wash,
Dishwasher,2025-06-11 22:42:00, Program finished,Eco Wash,
Dishwasher,2025-06-12 18:54:00, Program finished,Eco Wash,
Dishwasher,2025-06-12 23:23:00, Program finished,Eco Wash,
Dishwasher,2025-06-13 22:37:00, Program finished,Eco Wash,
Dishwasher,2025-06-14 19:45:00, Program finished,Eco Wash,
Dishwasher,2025-06-15 17:21:00, Program finished,Quick 1h,
Dishwasher,2025-06-16 14:00:00, Program finished,Quick 1h,
Dishwasher,2025-06-17 15:20:00, Program finished,Eco Wash,
Dishwasher,2025-06-17 20:50:00, Program finished,Eco Wash,
Dishwasher,2025-06-18 23:41:00, Program finished,Eco Wash,
Dishwasher,2025-06-19 16:26:00, Program finished,Eco Wash,
Dishwasher,2025-06-20 17:54:00, Program finished,Eco Wash,
Dishwasher,2025-06-21 14:25:00, Program finished,Eco Wash,
Dishwasher,2025-06-21 20:50:00, Program finished,Eco Wash,
Dishwasher,2025-06-22 11:06:00, Program finished,Quick 1h,
Dishwasher,2025-06-22 17:04:00, Program finished,Quick 1h,
Dishwasher,2025-06-23 18:52:00, Program finished,Eco Wash,
Dishwasher,2025-06-23 22:22:00, Program finished,Eco Wash,
Dishwasher,2025-06-24 22:06:00, Program finished,Eco Wash,
Dishwasher,2025-06-25 22:08:00, Program finished,Eco Wash,
Dishwasher,2025-06-26 14:20:00, Program finished,Eco Wash,
Dishwasher,2025-06-26 23:38:00, Program finished,Eco Wash,
Dishwasher,2025-06-27 22:59:00, Program finished,Eco Wash,
Dishwasher,2025-06-28 19:56:00, Program finished,Eco Wash,
Dishwasher,2025-06-29 08:06:00, Program finished,Quick 1h,
Dishwasher,2025-06-29 16:23:00, Program finished,Auto Wash,
Iron,2025-06-30 07:45:00,Finished,
Dishwasher,2025-06-30 23:37:00, Program finished,Eco Wash,
Dishwasher,2025-07-01 21:49:00, Program finished,Eco Wash,
Dishwasher,2025-07-03 00:14:00, Program finished,Eco Wash,
Dishwasher,2025-07-03 23:29:00, Program finished,Eco Wash,
Dishwasher,2025-07-05 16:46:00, Program finished,Eco Wash,
Dishwasher,2025-07-06 11:49:00, Program finished,Eco Wash,
Dishwasher,2025-07-06 17:41:00, Program finished,Quick 1h,
Dishwasher,2025-07-07 17:04:00, Program finished,Eco Wash,
Dishwasher,2025-07-08 13:35:00, Program finished,Eco Wash,
Dishwasher,2025-07-09 15:00:00, Program finished,Eco Wash,
Dishwasher,2025-07-10 14:55:00, Program finished,Eco Wash,
Dishwasher,2025-07-10 23:07:00, Program finished,Eco Wash,
Dishwasher,2025-07-11 23:35:00, Program finished,Eco Wash,
Dishwasher,2025-07-12 09:26:00, Program finished,Machine Care,
Dishwasher,2025-07-12 19:27:00, Program finished,Eco Wash,
Dishwasher,2025-07-13 10:18:00, Program finished,Quick 1h,
Dishwasher,2025-07-13 23:39:00, Program finished,Eco Wash,
Dishwasher,2025-07-14 20:47:00, Program finished,Eco Wash,
Dishwasher,2025-07-15 22:15:00, Program finished,Eco Wash,
Dishwasher,2025-07-16 17:38:00, Program finished,Eco Wash,
Dishwasher,2025-07-16 23:10:00, Program finished,Eco Wash,
Dishwasher,2025-07-17 23:32:00, Program finished,Eco Wash,
Dishwasher,2025-07-18 19:22:00, Program finished,Eco Wash,
Dishwasher,2025-07-19 23:57:00, Program finished,Eco Wash,